Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,00,00,0000,INDIA,Total,All ages,1028610328,532156772,496453556,228763727,129501591,99262136,210130875,117858269,92272606,14430284,9343287,5086997,1659887,1142799,517088,775406,510953,264453,1767275,646283,1120992
C3010,00,00,0000,INDIA,Total,0-4,110447164,57119612,53327552,2856810,1514939,1341871,2856810,1514939,1341871,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,5,26959509,14216386,12743123,5210610,2831066,2379544,5210610,2831066,2379544,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,6,26412941,13663205,12749736,10727389,5755119,4972270,10727389,5755119,4972270,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,7,23045028,11910330,11134698,16463794,8805921,7657873,16463794,8805921,7657873,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,8,31031074,16174274,14856800,22841517,12405056,10436461,22841517,12405056,10436461,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,9,20868238,10770638,10097600,17221599,9182468,8039131,17221599,9182468,8039131,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,10,33855378,17941703,15913675,25736938,14307550,11429388,25736938,14307550,11429388,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,11,18078949,9505257,8573692,15177405,8284515,6892890,15177405,8284515,6892890,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,12,30427429,16153819,14273610,22417465,12659924,9757541,22417465,12659924,9757541,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,13,19897051,10219364,9677687,15005416,8231753,6773663,15005416,8231753,6773663,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,14,22588051,11812734,10775317,15235440,8657099,6578341,15235440,8657099,6578341,0,0,0,0,0,0,0,0,0,0,0,0
C3010,00,00,0000,INDIA,Total,15-19,100215890,53939991,46275899,43876288,26447318,17428970,37634755,22740843,14893912,5159711,3028699,2131012,655987,436360,219627,323238,203087,120151,102597,38329,64268
